Region	Tilhørighet2EnhetID	Tilhørighet2	TilhørighetEnhetID	Tilhørighet	EnhetID	Enhetsnavn	Enhetskorttype	Enhetstype (Utledet)	Antall G/K - plasser	Antall budsjetterte plasser	Hjemler	Nedlagt Dato	Eierskapenhet	Lokasjonskode	ePhorte Adm Id	Fylke	Kommune	Adresse	Postnummer	Poststed	Telefon	Nettside	EPost	Orgnr
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	811	Østfold ungdoms- og familiesenter - omsorg avdeling Eika	Barnevernsinstitusjon	Barnevernsinstitusjon	1	0	/ § 6-6 Plassering i institusjon v/fare for menneskehandel / § 4-5 Akuttvedtak v/fare for menneskehandel		Statlig	232703	Ø-3-ØUFS-EUH	ØSTFOLD	HALDEN	Rokkeveien 849	1763	HALDEN				
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	45750	Østfold Ungdoms- og familiesenter avd Hjemmebasert	Avdeling	Oppfølgingsteam	0	0			Statlig	232708	Ø-3-ØUFS-HB	ØSTFOLD	HALDEN	Violgata 8	1776	HALDEN				
Sør			50607	Skjerven rusbehandling ungdom	50606	Nyhuset	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	344101	S-4-SRU-NH	VESTFOLD	LARVIK	Damtjernveien 598	3275	SVARSTAD				
Øst			43887	Bufetat Øst Innlandet Barnevernsenter	51429	AVVIKLES -  Innlandet Barnevernsenter avdeling Kauffeldt	Barnevernsinstitusjon	Barnevernsinstitusjon	2	2	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 3-6 Hjelpetiltak til unge over 18 år / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	245402	Ø-4-IBS-KA	INNLANDET	GJØVIK	Øverbyvegen 88-104	2819	GJØVIK				
Øst			43887	Bufetat Øst Innlandet Barnevernsenter	55166	Innlandet barnevernsenter avd Kauffeldt	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	235409		INNLANDET	GJØVIK	Øverbyvegen 88	2825	GJØVIK				
Sør			49366	Nye-Thorøya ungdomshjem	49423	Nye-Thorøya	Barnevernsinstitusjon	Barnevernsinstitusjon	6	6	/ § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 3-6 Hjelpetiltak til unge over 18 år / § 5-1 Omsorgsovertakelse / § 5-5 Flytting		Statlig	334001	S-3-TUH-TH	VESTFOLD	SANDEFJORD	Thorøyaveien 5	3209	SANDEFJORD				
Vest			46078	Sandnes ungdomssenter - adm	46082	Sandnes Ungdomssenter, Boligen	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	433104	V-3-SAUS-B	ROGALAND	SANDNES	Mindeveien 6A	4327	SANDNES				
Vest			46078	Sandnes ungdomssenter - adm	46079	Sandnes ungdomssenter - Minde 1	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	433102	V-3-SAUS-M1	ROGALAND	SANDNES	Mindeveien 8	4327	SANDNES				
Vest			596	Bergen akuttsenter (BAS)	597	Bergen Akutts. avd. Nattland	Barnevernsinstitusjon	Barnevernsinstitusjon	6	6	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 5-5 Flytting		Statlig	410604	V-1-BAS-NA	VESTLAND	BERGEN	Nedre Nattland 69	5099	BERGEN				974557452
Sør			551	Sundstedtråkka ungdomssenter akutt	482	Sundstedtråkka	Barnevernsinstitusjon	Barnevernsinstitusjon	5	5	/ § 5-1 Omsorgsovertakelse / § 5-5 Flytting / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Statlig	310803	S-1-SUS-SU	BUSKERUD	ØVRE EIKER	Storgata 62	3300	HOKKSUND				
Sør			551	Sundstedtråkka ungdomssenter akutt	552	Kantum	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 5-5 Flytting		Statlig	310804	S-1-SUS-KA	BUSKERUD	ØVRE EIKER	Baneveien 19	3300	HOKKSUND				
Øst			51959	Hedmark ungdoms- og familiesenter - akutt, adm	51962	Hedmark ungdoms- og familiesenter - akutt, avd Vien 1	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	236204	Ø-3-HUFS-VI1	INNLANDET	HAMAR	Klukevegen 30	2318	HAMAR				
Nord			621	Alta Ungdomssenter administrasjon	52288	Alta Ungdomssenter Utsikten akutt	Barnevernsinstitusjon	Barnevernsinstitusjon	3	2	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	611903	N-1-AUS-UA	FINNMARK	ALTA	Strandveien 12	9513	ALTA			utsikten.alta.ungdomssenter@bufetat.no	
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	532	Østfold ungdoms- og familiesenter - omsorg, avdeling Alfheim ungdomshjem	Barnevernsinstitusjon	Barnevernsinstitusjon	6	4	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	232702	Ø-3-ØUFS-AUH	ØSTFOLD	HALDEN	Alfheimveien 6	1779	HALDEN				927731835
Øst			648	Kirkenær barnevern- og omsorgssenter Administrasjon	655	Kirkenær barnevern- og omsorgssenter Snorre ungdomshjem	Barnevernsinstitusjon	Barnevernsinstitusjon	8	5	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	232805	Ø-3-KBOS-SUH	INNLANDET	GRUE	Gartnerivegen 8	2260	KIRKENÆR				973662759
Vest			577	Stavanger akuttsenter (SAS)	579	Stavanger akuttsenter - Røyneberg	Barnevernsinstitusjon	Barnevernsinstitusjon	4	3	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 5-5 Flytting		Statlig	410704	V-1-SAS-RØ	ROGALAND	SOLA	Marknesringen 48	4052	RØYNEBERG				
Midt			530	Sunnmørsheimen ungdomsheim	27870	Sunnmørsheimen ungdomsheim, avd. Nygardsvegen	Avdeling	Barnevernsinstitusjon	4	4	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	543301	M-4-UHSUN-N	MØRE OG ROMSDAL	VOLDA	Nygardsvegen 2	6103	VOLDA				
Vest			674	Sogn og Fjordane ungdomssenter	673	Sogn og Fjordane ungdomssenter, avd. Meltunet	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	432402	V-3-SFUS-ME	VESTLAND	STAD	Sophus Lie-vegen 9	6770	NORDFJORDEID				973973770
Sør			42762	Lunde behandlingssenter adm.	42761	Lunde behandlingssenter	Barnevernsinstitusjon	Barnevernsinstitusjon	6	5	/ § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	333501	S-3-LBS-I	AGDER	KRISTIANSAND	Lundeveien 171	4640	SØGNE				
Øst			51967	Bufetats behandlingssenter Akershus_Østfold, adm	51966	Bufetats behandlingssenter Akershus_Østfold, avd Ressursteam	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	237103	Ø-3-BSAØ-RT	AKERSHUS	ÅS	Solfallsveien 27	1435	ÅS				
Vest			831	Kasa Ungdomssenter avd. adm.	832	Kasa Ungdomssenter avd. Flatøy	Barnevernsinstitusjon	Barnevernsinstitusjon	4	3	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	432804	V-4-KASA-FL	VESTLAND	ALVER	Flatøyvegen 45	5918	FREKHAUG				
Nord			621	Alta Ungdomssenter administrasjon	623	Alta Ungdomssenter sjøtun	Barnevernsinstitusjon	Barnevernsinstitusjon	4	2	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-5 Flytting / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 3-2 Hjelpetiltak omsorg / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	611901	N-1-AUS-SJ	FINNMARK	ALTA	Strandveien 12	9513	ALTA			sjotun.alta.ungdomssenter@bufetat.no	
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	534	Østfold ungdoms- og familiesenter - omsorg, avdeling Tune ungdomshjem	Barnevernsinstitusjon	Barnevernsinstitusjon	7	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	232707	Ø-3-ØUFS-TUH	ØSTFOLD	SARPSBORG	Ugleveien 1	1712	GRÅLUM				
Vest			798	Skjoldvegen barnevernsenter	800	AVVIKLES -  Skjoldvegen barnevernsenter, avd. Skjold	Barnevernsinstitusjon	Barnevernsinstitusjon	6	6	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	432104	V-3-SBS-SK	VESTLAND	BERGEN	Skjoldvegen 51/55	5221	NESTTUN				
Vest			55315	Fana og Ytrebygda ungdomssenter adm	55316	Fana og Ytrebygda ungdomssenter avd. Skjold	Barnevernsinstitusjon	Barnevernsinstitusjon	7	6	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	453202	V-5-FYUS-SK	VESTLAND	BERGEN	Skjoldvegen 51-55	5221	NESTTUN				
Øst			43887	Bufetat Øst Innlandet Barnevernsenter	43889	Innlandet barnevernsenter avdeling Aukrust	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 3-6 Hjelpetiltak til unge over 18 år / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Statlig	235403	Ø-3-IBS-AU	INNLANDET	GJØVIK	Øverbyvegen 88-104	2825	GJØVIK				
Sør			761	Agder ungdomshjem	764	Nes	Barnevernsinstitusjon	Barnevernsinstitusjon	6	5	/ § 3-6 Hjelpetiltak til unge over 18 år / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 5-5 Flytting		Statlig	331807	S-3-AUH-NE	AGDER	TVEDESTRAND	Nesverkveien 190	4934	NES VERK				
Vest			566	Stavanger ungdomssenter - adm	565	Stavanger ungdomssenter - avd. Lindøy	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	432203	V-3-SUS-LI	ROGALAND	STAVANGER	Lindøy 1	4013	STAVANGER				986129146
Midt			49957	Sunnmørsheimen akuttinstitusjon	49958	Sunnmørsheimen akuttinstitusjon, avd. Klatrevegen	Barnevernsinstitusjon	Barnevernsinstitusjon	2	2	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	514401	M-1-SUN-K	MØRE OG ROMSDAL	VOLDA	Klatrevegen 2	6104	VOLDA				
Sør			43736	St. Hansgården ungdomssenter akutt	43735	St. Hansgården	Barnevernsinstitusjon	Barnevernsinstitusjon	6	6	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 5-5 Flytting		Statlig	313601	S-1-SHUS-SH	AGDER	KRISTIANSAND	Bispegra 52	4632	KRISTIANSAND S				
Midt			47133	Nasjonal enhet for behandlingstiltak	50095	Tverrfaglig helsekartlegging NABE	Avdeling	Utredningsteam	0	0			Statlig	544130	NABE-THK	TRØNDELAG	TRONDHEIM	Havnegata 9 - blokk C 4.etg	7010	TRONDHEIM				
Nord			52276	Silsand ungdomssenter Administrasjon F4	52282	Silsand ungdomssenter miljøavdeling	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	642501	N-4-SUS-MA	TROMS	SENJA	Islandsbotnveien 35	9303	SILSAND				
Midt			629	Karienborg ungdomsheim	1802	Karienborg, Langtidsavdelingen	Avdeling	Barnevernsinstitusjon	6	6	/ § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Statlig	531001	M-3-KUH-LA	TRØNDELAG	LEVANGER	Okkenhaugvn 13B	7604	LEVANGER	46615425		bodiljanne.bulling@bufetat.no	
Nord			43146	Bodø behandlingssenter adm	53185	Bodø behandlingssenter avdeling 3	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	634803	N-3-BBS-A3	NORDLAND	BODØ	Rønvikveien 9	8009	BODØ				
Sør			793	Telemark ungdomssenter	480	Miljøheimen	Barnevernsinstitusjon	Barnevernsinstitusjon	6	4	/ § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 3-6 Hjelpetiltak til unge over 18 år / § 3-2 Hjelpetiltak omsorg / § 5-5 Flytting / § 5-1 Omsorgsovertakelse		Statlig	331706	S-3-TVUH-MH	TELEMARK	VINJE	Haugetuft 16	3890	VINJE				976246578
Vest			831	Kasa Ungdomssenter avd. adm.	833	AVVIKLES -  Kasa ungdomssenter, avd. Hop	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	432805	V-4-KASA-HO	VESTLAND	BERGEN	Nybøvegen 24	5221	NESTTUN				
Vest			831	Kasa Ungdomssenter avd. adm.	834	AVVIKLES -  Kasa ungdomssenter, avd. Sandsli	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	432802	V-4-KASA-SA	VESTLAND	BERGEN	Aurdalslia 96	5253	SANDSLI				
Vest			55315	Fana og Ytrebygda ungdomssenter adm	55320	Fana og Ytrebygda ungdomssenter avd. Sandsli	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	453204	V-5-FYUS-SA	VESTLAND	BERGEN	Aurdalslia 96	5253	SANDSLI				
Vest			566	Stavanger ungdomssenter - adm	567	Stavanger ungdomssenter - avd. Våland	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	432204	V-3-SUS-VÅ	ROGALAND	STAVANGER	Rogalandsgata 18	4011	STAVANGER				
Øst			51967	Bufetats behandlingssenter Akershus_Østfold, adm	51974	Bufetats behandlingssenter Akershus_Østfold, avd Østlund	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	237106	Ø-3-BSAØ-ØL	ØSTFOLD	SARPSBORG	Grimstadtunet 27	1746	SKJEBERG				
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	51513	Østfold ungdoms- og familiesenter - avdeling Fossen	Barnevernsinstitusjon	Barnevernsinstitusjon	4	3	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	232710	Ø-3-ØUFS-FO	ØSTFOLD	SARPSBORG	Skolegata 53	1724	SARPSBORG				
Vest			574	Region vest - Adferd høy	50923	TFCO Bergen, avdeling institusjon	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	442613	V-4-AH-TFCOB-IN	VESTLAND	BERGEN	Solheimsgaten 13	5058	BERGEN				
Midt			735	Kvammen akuttsenter	54258	Kvammen, avdeling enetiltak	Barnevernsinstitusjon	Barnevernsinstitusjon	1	1	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	512004	M-1-KAS-E	TRØNDELAG	STJØRDAL	Kirkevegen 33	7514	STJØRDAL				
Øst			51967	Bufetats behandlingssenter Akershus_Østfold, adm	51969	Bufetats behandlingssenter Akershus_Østfold, avd Ås	Barnevernsinstitusjon	Barnevernsinstitusjon	6	6	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	237104	Ø-3-BSAØ-ÅS	AKERSHUS	ÅS	Solfallsveien 27	1435	ÅS				
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	55171	Østfold ungdoms- og familiesenter -avdeling Jibbe	Barnevernsinstitusjon	Barnevernsinstitusjon	5	4	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-5 Flytting		Statlig	232711	Ø-3-ØUFS-JI	ØSTFOLD	SARPSBORG	Kantarellveien 4	1708	SARPSBORG				
Nord			813	Yttrabekken ungdomssenter administrasjon	814	Yttrabekken ungdomssenter avdeling 1	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	643101	N-4-YUS-A1	NORDLAND	RANA	Brennstadmoen 23	8614	MO I RANA				
Nord			745	Røvika ungdomssenter Administrasjon	747	Røvika ungdomssenter Skogly	Avdeling	Barnevernsinstitusjon	3	2	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	612402	N-1-RUS-SK	NORDLAND	FAUSKE	Røvikveien 21	8214	FAUSKE				
Nord			745	Røvika ungdomssenter Administrasjon	52287	Røvika ungdomssenter Åsheim akutt	Barnevernsinstitusjon	Barnevernsinstitusjon	2	2	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 4-2 Akutt, uten samtykke / § 4-1 Hjelpetiltak akutt		Statlig	612406	N-1-RUS-ÅA	NORDLAND	FAUSKE	Røvikveien 21	8214	FAUSKE			stale.jenssen@bufetat.no	
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	812	Østfold ungdoms- og familiesenter - omsorg, avdeling Rokkeveien ungdomshjem	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	232706	Ø-3-ØUFS-RUH	ØSTFOLD	HALDEN	Rokkeveien 829	1763	HALDEN				
Vest			596	Bergen akuttsenter (BAS)	598	Bergen Akutts. avd. Toppe	Barnevernsinstitusjon	Barnevernsinstitusjon	5	5	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	410602	V-1-BAS-TO	VESTLAND	BERGEN	Skinflorbakkane 12	5136	MJØLKERÅEN				
